,,,,,Total Domestic Residual Waste Generation and Disposal (tonnes),,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kerbside Waste Bin,,,,Kerbside,,,Drop Off,,,,,,,Clean Up,,,,,,,Total Disposed to Landfill,,Total Waste,,,,
,,,,,Collected,Recycled,Disposed,,Recycling Bin Disposed,Organics Bin Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,Recycling Disposed,Organics Disposed,,Waste Collected,Waste Recycled,Waste Disposed,,,,Collected,Recycled,Waste Disposed,Recycling  Disposed,Organics Disposed
NSW,,,,,1831255.32,162941.76,1668313.56,,56873.36,7438.84,,3922.21,4845.72,,275031.12,19403.34,255627.78,,1493.99,1382.51,,234440.8,37126.14,197314.66,,2197212.63,,2340727.24,219471.24,2121256,62289.56,13667.07
,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,1098742.8,156630.61,942112.19,,31805.16,3797.55,,18.01,0,,973.79,973.29,0.5,,1452.49,1330.58,,164656.74,32924.05,131732.69,,1112249.17,,1264373.33,190527.95,1073845.38,33275.66,5128.13
ERA,,,,,348807.47,5612.22,343195.25,,9414.43,1132.08,,103.6,0,,65855.74,1826.27,64029.47,,0,0,,54110.11,2750.93,51359.18,,469234.01,,468773.32,10189.42,458583.9,9518.03,1132.08
RRA,,,,,156470.74,698.93,155771.81,,9106.44,1515.3,,377,0,,53783.9,3997.4,49786.5,,0,0,,11334.12,1179.88,10154.24,,226711.29,,221588.76,5876.21,215712.55,9483.44,1515.3
Rest of NSW,,,,,227234.31,0,227234.31,,6547.33,993.91,,3423.6,4845.72,,154417.69,12606.38,141811.31,,41.5,51.93,,4339.83,271.28,4068.55,,389018.16,,385991.83,12877.66,373114.17,10012.43,5891.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1779223.38,171899.84,1607323.54,,64546.01,8211.51,,3775.19,8161.77,,340420.18,42265.96,298154.22,,415.11,21,,233542.13,45888.92,187653.21,,2178261.56,,2353185.69,260054.72,2093130.97,68736.31,16394.28
,2020-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,1057327.43,161628.66,895698.77,,34835.62,3465.99,,150.91,0,,11495.36,11173.83,321.53,,364.26,1,,161802.86,39138.18,122664.68,,1057502.76,,1230625.65,211940.67,1018684.98,35350.79,3466.99
ERA,,,,,341847.7,9663.8,332183.9,,13812.96,1496.51,,28.89,109.73,,75738.94,12707.78,63031.16,,2.35,0,,55008.71,3162.12,51846.59,,462512.09,,472595.35,25533.7,447061.65,13844.2,1606.24
RRA,,,,,156097.65,607.38,155490.27,,7917.98,1208.29,,72.16,5,,91373.15,11507.72,79865.43,,0,0,,12212.52,3280.62,8931.9,,253491.03,,259683.32,15395.72,244287.6,7990.14,1213.29
Rest of NSW,,,,,223950.6,0,223950.6,,7979.45,2040.72,,3523.23,8047.04,,161812.73,6876.63,154936.1,,48.5,20,,4518.04,308,4210.04,,404755.68,,390281.37,7184.63,383096.74,11551.18,10107.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1718473.51,122854.59,1595618.92,,53361.63,4076.01,,149.64,5356.81,,331180.94,35888.56,295292.38,,3612.42,9.35,,189738.38,17908.34,171830.04,,2129307.2,,2240830.37,176651.49,2062741.34,57123.69,9442.17
,2019-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,1055090.42,111403.36,943687.06,,29628.39,2903.2,,9.53,0,,40373.81,1931.5,38442.31,,3558.42,3.35,,129516.85,15609.66,113907.19,,1132139.45,,1224981.08,128944.52,1096036.56,33196.34,2906.55
ERA,,,,,319978.5,7974,312004.5,,10261.18,491.94,,17,106,,71820.79,5817.22,66003.57,,2,0,,49695.56,1580.54,48115.02,,437001.21,,442932.85,15371.76,426123.09,10280.18,597.94
RRA,,,,,144350.98,3477.23,140873.75,,7155.82,252.41,,18.87,4.26,,85773.81,12879.29,72894.52,,51,0,,7564.39,545.14,7019.25,,228269.88,,237689.18,16901.66,220787.52,7225.69,256.67
Rest of NSW,,,,,199053.61,0,199053.61,,6316.24,428.46,,104.24,5246.55,,133212.53,15260.55,117951.98,,1,6,,2961.58,173,2788.58,,331896.66,,335227.26,15433.55,319794.17,6421.48,5681.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1632503.29,167879.9,1464623.39,,61784.87,11637.71,,1327.47,2476.27,,244566.2,34137.81,210428.39,,1995.46,5196.94,,203371.59,25790,177581.59,,1937052.09,,2080441.08,227807.71,1852633.37,65107.8,19310.92
,2018-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,983634.2,157563.49,826070.71,,37987.02,5646.82,,23.4,8,,1216.67,690,526.67,,1578.55,1173.16,,141847.23,21480.56,120366.67,,993381,,1126698.1,179734.05,946964.05,39588.97,6827.98
ERA,,,,,314948.04,9029.92,305918.12,,8484.29,1409.12,,38.79,149,,80450.36,14673.67,65776.69,,2.14,0,,48374.4,3137.81,45236.59,,427014.74,,443772.8,26841.4,416931.4,8525.22,1558.12
RRA,,,,,136624.82,1286.49,135338.33,,7362.11,2611.86,,4.8,6.5,,56099.66,13105.91,42993.75,,0,0,,9865.84,1048.03,8817.81,,197135.16,,202590.32,15440.43,187149.89,7366.91,2618.36
Rest of NSW,,,,,197296.23,0,197296.23,,7951.45,1969.91,,1260.48,2312.77,,106799.51,5668.23,101131.28,,414.77,4023.78,,3284.12,123.6,3160.52,,319521.19,,307379.86,5791.83,301588.03,9626.7,8306.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1667470.5,260589.22,1406881.28,,55481.23,13547.56,,2079.72,8095.79,,241750.72,27674.06,214076.66,,4425.06,3338.03,,198809.51,23183.68,175625.83,,1883551.16,,2108030.73,311446.96,1796583.77,61986.01,24981.38
,2017-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,975764.48,237537.28,738227.2,,31349,4841.11,,16.01,1440.15,,5338.09,3529.05,1809.04,,3831.33,2007.3,,138537.12,17732.95,120804.17,,904325.31,,1119639.69,258799.28,860840.41,35196.34,8288.56
ERA,,,,,339702.53,13860.85,325841.68,,8280.82,993.16,,612.71,1098,,60655.82,4698.85,55956.97,,80.9,0,,48317.42,4058.07,44259.35,,437123.59,,448675.77,22617.77,426058,8974.43,2091.16
RRA,,,,,139348.98,9191.09,130157.89,,7441.58,1832.05,,481.88,891.79,,56741.52,5997.03,50744.49,,349.49,0,,8852.89,575.86,8277.03,,200176.2,,204943.39,15763.98,189179.41,8272.95,2723.84
Rest of NSW,,,,,212654.51,0,212654.51,,8409.83,5881.24,,969.12,4665.85,,119015.29,13449.13,105566.16,,163.34,1330.73,,3102.08,816.8,2285.28,,341926.06,,334771.88,14265.93,320505.95,9542.29,11877.82
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1687162,254149.19,1433012.81,,60592.24,16212.37,,1178.63,4611.62,,228898.89,25513.93,203384.96,,3746.41,4998,,206250.79,22098.54,184152.25,,1911889.29,,2122311.42,301761.66,1820550.02,65517.28,25821.99
,2016-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,985828.94,238825.8,747003.14,,38696.89,5445.72,,3.69,419,,2024.53,854.53,1170,,3745.41,1067.5,,140604.69,13427.42,127177.27,,924728.62,,1128458.16,253107.75,875350.41,42445.99,6932.22
ERA,,,,,344172.8,13542,330630.8,,8503.15,1103.05,,150.11,27.39,,65531.18,5593.52,59937.66,,1,3910,,47762.48,7676.47,40086.01,,444349.17,,457466.46,26811.99,430654.47,8654.26,5040.44
RRA,,,,,145847.06,1665.59,144181.47,,6009.25,2029.46,,137.28,656.94,,72488.37,14258.95,58229.42,,0,0,,15001.39,706.4,14294.99,,225538.81,,233336.82,16630.94,216705.88,6146.53,2686.4
Rest of NSW,,,,,211313.2,115.8,211197.4,,7382.95,7634.14,,887.55,3508.29,,88854.81,4806.93,84047.88,,0,20.5,,2882.23,288.25,2593.98,,317272.69,,303049.98,5210.98,297839.26,8270.5,11162.93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1707114.55,259520.49,1447594.06,,57856.33,16989.58,,9364.85,5019.11,,234246.2,4731.35,229514.85,,155.88,75.43,,209717.83,31282.25,178435.58,,1945005.67,,2151078.58,295534.09,1855544.49,67377.06,22084.12
,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,984680.18,231973.97,752706.21,,33087.55,6289.25,,1327.27,0,,0,0,0,,37.65,72.25,,146666.54,17827.59,128838.95,,922359.13,,1131346.72,249801.56,881545.16,34452.47,6361.5
ERA,,,,,353070.52,14243.56,338826.96,,11954.68,1099.95,,2451.36,0,,63253.62,30.11,63223.51,,25,0,,44929.37,12720.8,32208.57,,449790.03,,461253.51,26994.47,434259.04,14431.04,1099.95
RRA,,,,,153121.4,13302.96,139818.44,,5032.85,1820.54,,327.27,4.42,,58175.44,1482.81,56692.63,,0,0,,12108.74,606.2,11502.54,,215198.69,,223405.58,15391.97,208013.61,5360.12,1824.96
Rest of NSW,,,,,216242.45,0,216242.45,,7781.25,7779.84,,5258.95,5014.69,,112817.14,3218.43,109598.71,,93.23,3.18,,6013.18,127.66,5885.52,,357657.82,,335072.77,3346.09,331726.68,13133.43,12797.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1672940,256069.37,1416870.63,,48910.81,21302.9402,,4848.53,6032.17,,257836.82,10337.64,247499.18,,476.96,97.23,,196426.46,24499.623,171926.837,,1917965.287,,2127203.28,290906.633,1836296.647,54236.3,27432.3402
,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,954985,224687.05,730297.95,,28281.69,15371.5166,,10.63,0,,1405.26,75,1330.26,,455.71,90,,135816.67,14443.043,121373.627,,897211.3836,,1092206.93,239205.093,853001.837,28748.03,15461.5166
ERA,,,,,345397,16144,329253,,8030.78,1489.1096,,53.96,2292,,74202.69,1767.45,72435.24,,0.85,0,,39692.5,4513.86,35178.64,,448733.5796,,459292.19,22425.31,436866.88,8085.59,3781.1096
RRA,,,,,152742,15238.32,137503.68,,4232.27,2988.869588,,2333.46,1202.31,,52942.14,7119.19,45822.95,,0,0,,13154.72,655.34,12499.38,,206582.9196,,218838.86,23012.85,195826.01,6565.73,4191.179588
Rest of NSW,,,,,219816,0,219816,,8366.07,1453.444407,,2450.48,2537.86,,129286.73,1376,127910.73,,20.4,7.23,,7762.57,4887.38,2875.19,,365437.4044,,356865.3,6263.38,350601.92,10836.95,3998.534407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSW,,,,,1663175.49,249215,1413960.49,,49410.11,20534.4417,,1565.6048,4230.08,,234103.12,0,234103.12,,562.12,51.04,,156077.06,0,156077.06,,1880494.067,,,,,,
,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMA,,,,,931416,217432,713984,,27615.42,14195.4045,,6.76,0,,5092.65,0,5092.65,,148.6,40,,110151.77,0,110151.77,,871234.6045,,,,,,
ERA,,,,,338443,17400,321043,,8480.62,1094.61,,112.06,0,,40373.65,0,40373.65,,4.52,0,,37986.88,0,37986.88,,409095.34,,,,,,
RRA,,,,,156710,14383,142327,,5299.43,2417.7972,,119.54,1288.34,,65635.37,0,65635.37,,340,0,,5080.62,0,5080.62,,222508.0972,,,,,,
Rest of NSW,,,,,236606.49,0,236606.49,,8014.64,2826.63,,1327.2448,2941.74,,123001.45,0,123001.45,,69,11.04,,2857.79,0,2857.79,,377656.0248,,,,,,
